unicode letter, observed count, unicode encoding, description
ł, 5, 0x142, "LATIN SMALL LETTER L WITH STROKE"
ド, 5, 0x30c9, "KATAKANA LETTER DO"
ч, 4, 0x447, "CYRILLIC SMALL LETTER CHE"
ȱ, 4, 0x231, "LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON"
ő, 4, 0x151, "LATIN SMALL LETTER O WITH DOUBLE ACUTE"
ķ, 4, 0x137, "LATIN SMALL LETTER K WITH CEDILLA"
î, 4, 0xee, "LATIN SMALL LETTER I WITH CIRCUMFLEX"
į, 4, 0x12f, "LATIN SMALL LETTER I WITH OGONEK"
ĩ, 4, 0x129, "LATIN SMALL LETTER I WITH TILDE"
ǧ, 4, 0x1e7, "LATIN SMALL LETTER G WITH CARON"
ē, 4, 0x113, "LATIN SMALL LETTER E WITH MACRON"
ḍ, 4, 0x1e0d, "LATIN SMALL LETTER D WITH DOT BELOW"
ậ, 4, 0x1ead, "LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW"
ヘ, 4, 0x30d8, "KATAKANA LETTER HE"
タ, 4, 0x30bf, "KATAKANA LETTER TA"
イ, 4, 0x30a4, "KATAKANA LETTER I"
ل, 3, 0x644, "ARABIC LETTER LAM"
گ, 3, 0x6af, "ARABIC LETTER GAF"
ب, 3, 0x628, "ARABIC LETTER BEH"
ا, 3, 0x627, "ARABIC LETTER ALEF"
ý, 3, 0xfd, "LATIN SMALL LETTER Y WITH ACUTE"
ũ, 3, 0x169, "LATIN SMALL LETTER U WITH TILDE"
ṫ, 3, 0x1e6b, "LATIN SMALL LETTER T WITH DOT ABOVE"
ḵ, 3, 0x1e35, "LATIN SMALL LETTER K WITH LINE BELOW"
ī, 3, 0x12b, "LATIN SMALL LETTER I WITH MACRON"
ę, 3, 0x119, "LATIN SMALL LETTER E WITH OGONEK"
ḁ, 3, 0x1e01, "LATIN SMALL LETTER A WITH RING BELOW"
ą, 3, 0x105, "LATIN SMALL LETTER A WITH OGONEK"
ѣ, 3, 0x463, "CYRILLIC SMALL LETTER YAT"
ƃ, 3, 0x183, "LATIN SMALL LETTER B WITH TOPBAR"
ര, 2, 0xd30, "MALAYALAM LETTER RA"
ы, 2, 0x44b, "CYRILLIC SMALL LETTER YERU"
х, 2, 0x445, "CYRILLIC SMALL LETTER HA"
з, 2, 0x437, "CYRILLIC SMALL LETTER ZE"
φ, 2, 0x3c6, "GREEK SMALL LETTER PHI"
ρ, 2, 0x3c1, "GREEK SMALL LETTER RHO"
λ, 2, 0x3bb, "GREEK SMALL LETTER LAMDA"
ŧ, 2, 0x167, "LATIN SMALL LETTER T WITH STROKE"
ŕ, 2, 0x155, "LATIN SMALL LETTER R WITH ACUTE"
피, 2, 0xd53c, "HANGUL SYLLABLE PI"
오, 2, 0xc624, "HANGUL SYLLABLE O"
수, 2, 0xc218, "HANGUL SYLLABLE SU"
モ, 2, 0x30e2, "KATAKANA LETTER MO"
ポ, 2, 0x30dd, "KATAKANA LETTER PO"
ケ, 2, 0x30b1, "KATAKANA LETTER KE"
